file,bytes,sha256,file_modified_utc,first_recorded_utc,last_verified_utc
Description-of-output-columns_GEP_V2(1).docx,30794,ca89d47f4324c13b9c7e21a5d7a160ccb2af7fd49c513019e62d71ec446a5461,2026-08-25T13:50:04Z,2026-08-26T17:32:07Z,2026-08-27T11:15:49Z
gep_ng2_scenario_summary.pdf,370779,1acd5ec9c7e7332c362dd042bf420dd1e61a6ca711f6e3ad4bc17f7bccea38fe,2026-08-26T10:39:38Z,2026-08-27T11:15:49Z,2026-08-27T11:15:49Z
gfw_by_region/Location of tree cover loss in Nigeria.zip,54972,bce0c68c4c8e9fb8555e6f3068b436921a3a35731feb5dc059693e1bac155811,2026-08-26T20:45:37Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
gfw_by_region/adm1_metadata.csv,524,5ade62902fe52a1a653aa80e94a1285bdf36428eb2f319a42859c9bf087f9241,2026-08-26T20:45:22Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
gfw_by_region/iso_metadata.csv,4713,57a04f265fc9f6eb60e664c4fcd44af32c805e325be7f4ec215a2acc6d1244f8,2026-08-26T20:45:22Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
gfw_by_region/metadata.csv,297,cb3d3c7d623446f4b4dedb9337e355a78904c3eb41e9a18b08b151bed75514e8,2026-08-26T20:45:22Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
gfw_by_region/treecover_extent_2000__ha.csv,112,79a6df0ee8b606f73803adbeb1e3921c46aabfdef59ab3658cbbb8d6505e0e20,2026-08-26T20:45:22Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
gfw_by_region/treecover_loss_by_region__ha.csv,48712,7f21cbc06deeabd2f42cdf6b2ea5ce800acecc6346bfd58fb8c1fded1ec1b2d7,2026-08-26T20:45:22Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
gfw_national/Tree cover loss in Nigeria.zip,7828,56bb325c7118a89d3890ea03656dba7453d1f4f0e8fcd588d423428500784fbc,2026-08-26T20:40:13Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
gfw_national/adm1_metadata.csv,524,5ade62902fe52a1a653aa80e94a1285bdf36428eb2f319a42859c9bf087f9241,2026-08-26T20:37:22Z,2026-08-26T21:08:18Z,2026-08-27T11:15:49Z
