name,adm1__id
"Abia","1"
"Adamawa","2"
"Akwa Ibom","3"
"Anambra","4"
"Bauchi","5"
"Bayelsa","6"
"Benue","7"
"Borno","8"
"Cross River","9"
"Delta","10"
"Ebonyi","11"
"Edo","12"
"Ekiti","13"
"Enugu","14"
"Federal Capital Territory","15"
"Gombe","16"
"Imo","17"
"Jigawa","18"
"Kaduna","19"
"Kano","20"
"Katsina","21"
"Kebbi","22"
"Kogi","23"
"Kwara","24"
"Lagos","25"
"Nasarawa","26"
"Niger","27"
"Ogun","28"
"Ondo","29"
"Osun","30"
"Oyo","31"
"Plateau","32"
"Rivers","33"
"Sokoto","34"
"Taraba","35"
"Yobe","36"
"Zamfara","37"
