"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"NGA",2001,43386.41817660067213937,15355530.897879021559047
"NGA",2002,32346.71006395439280986,12184636.683850796962879
"NGA",2003,13380.62898904750375967,4784889.047507782693228
"NGA",2004,14644.02433666113660023,5568473.927821623053765
"NGA",2005,13279.89910020496912946,5218037.361591820445877
"NGA",2006,26167.55795023748228915,10279608.588899505495528
"NGA",2007,24572.68286832743620886,10141455.769475015692630
"NGA",2008,27470.58229318519000795,11816092.877137773394665
"NGA",2009,25289.74205926540776681,10977460.940996101590467
"NGA",2010,32782.06424321336760435,15280726.683252804910262
"NGA",2011,53891.41223592470007998,23015377.025726393445092
"NGA",2012,34970.91954364169297343,16751121.032626884283142
"NGA",2013,43434.89739662000187979,22661734.420594607527658
"NGA",2014,68637.27480485881332249,37408673.251020229036841
"NGA",2015,40927.69901921678501040,23246895.258593585724660
"NGA",2016,72189.61579178818657852,41097803.462871619634889
"NGA",2017,171045.52341545590917053,99570923.351063021070600
"NGA",2018,119823.06801515973287334,69963778.704756717100999
"NGA",2019,86895.12476145212569862,48762319.702688386296444
"NGA",2020,99199.51603081963642843,60468255.996572093731321
"NGA",2021,97193.20236319159162791,65263512.625189048620618
"NGA",2022,106189.31925917946730935,70690515.523939460389237
"NGA",2023,85267.49467742216687838,54870743.377304233766982
"NGA",2024,105644.33004385722907900,72148634.301814706852667
"NGA",2025,118262.73322194685510280,84551247.233495849053603
